Filename,CD,Track,Index,Duration,Description
G_24P.wav,Carl Gustav M45,25,1,,"Carl Gustav M45, Swedish K, rifle, fully automatic, machine gun, sub machine gun, 9mm, gunshots, long burst, mid distance, front of shooter, forward, back, stereo"
H_21P.wav,CD,22,1,,"Charles Daly, CD, FTAW, shotgun, pump action, 12 gauge, gunshot, near distance, front of shooter, left, right, stereo"
H_16P.wav,CD,17,1,,"Charles Daly, CD, FTAW, shotgun, pump action, 12 gauge, gunshot, mid distance, front of shooter, forward, back, stereo"
I_22P.wav,Marlin 336,23,1,,"Marlin 336, rifle, carbine, lever action, .30-30, gunshot, near distance, front of shooter, left, right, stereo"
I_17P.wav,Marlin 336,18,1,,"Marlin 336, rifle, carbine, lever action, .30-30, gunshot, mid distance, front of shooter, forward, back, stereo"
K_22P.wav,Model 12,23,1,,"Winchester, Model 12, shotgun, pump action, 12 gauge, gunshot, near distance, front of shooter, left, right, stereo"
K_17P.wav,Model 12,18,1,,"Winchester, Model 12, shotgun, pump action, 12 gauge, gunshot,  mid distance, front of shooter, forward, back, stereo"
L_23P.wav,Model 1894,24,1,,"Winchester, Model 1894, rifle, lever action, .32 Winchester Special, gunshot, near distance, front of shooter, left, right, stereo"
L_17P.wav,Model 1894,19,1,,"Winchester, Model 1894, rifle, lever action, .32 Winchester Special, gunshot, mid distance, front of shooter, forward, back, stereo"
M_21P.wav,Mosin,22,1,,"Mosin Nagant, rifle, bolt action, 7.62x54, gunshot, near distance, front of shooter, left, right, stereo"
M_26P.wav,Mosin,27,1,,"Mosin Nagant, rifle, bolt action, 7.62x54, gunshot, mid distance, front of shooter, forward, back, stereo"
N_30P.wav,Mossberg,31,1,,"Mossberg, Model 190, shotgun, bolt action, 12 gauge, gunshot, near distance, front of shooter, left, right, stereo"
N_26P.wav,Mossberg,26,1,,"Mossberg, Model 190, shotgun, bolt action, 12 gauge, gunshot, mid distance, front of shooter, forward, back, stereo"
O_21P.wav,Nova,22,1,,"Benelli, Nova, shotgun, pump action, 12 gauge, gunshot, near distance, front of shooter, left, right, stereo"
O_17P.wav,Nova,17,1,,"Benelli, Nova, shotgun, pump action, 12 gauge, gunshot, mid distance, front of shooter, forward, back, stereo"
P_30P.wav,PPSh,31,1,,"PPSh, rifle, fully automatic, machine gun, sub machine gun, 7.62x25 Tokarev, gunshot, near distance, front of shooter, left, right, stereo"
P_16P.wav,PPSh,16,1,,"PPSh, rifle, fully automatic, machine gun, sub machine gun, 7.62x25 Tokarev, gunshot, mid distance, front of shooter, forward, back, stereo"
P_32P.wav,PPSh,33,1,,"PPSh, rifle, fully automatic, machine gun, sub machine gun, 7.62x25 Tokarev, gunshots, short burst, near distance, front of shooter, left, right, stereo"
P_18P.wav,PPSh,20,1,,"PPSh, rifle, fully automatic, machine gun, sub machine gun, 7.62x25 Tokarev, gunshots, short burst, mid distance, front of shooter, forward, back, stereo"
P_34P.wav,PPSh,35,1,,"PPSh, rifle, fully automatic, machine gun, sub machine gun, 7.62x25 Tokarev, gunshots, long burst, near distance, front of shooter, left, right, stereo"
P_22P.wav,PPSh,23,1,,"PPSh, rifle, fully automatic, machine gun, sub machine gun, 7.62x25 Tokarev, gunshots, long burst, mid distance, front of shooter, forward, back, stereo"
R_35P.wav,Ruger Mark III,36,1,,"Ruger Mark III, handgun, pistol, semi automatic, .22, gunshot, near distance, front of shooter, left, right, stereo"
R_30P.wav,Ruger Mark III,30,1,,"Ruger Mark III, handgun, pistol, semi automatic, .22, gunshot, mid distance, front of shooter, forward, back, stereo"
S_14P.wav,Ruger Single Six,19,1,,"Ruger Single Six, handgun, pistol, revolver, single action, .22, gunshot, near distance, front of shooter, left, right, stereo"
S_11P.wav,Ruger Single Six,14,1,,"Ruger Single Six, handgun, pistol, revolver, single action, .22, gunshot, mid distance, front of shooter, forward, back, stereo"
T_27P.wav,Savage 10,28,1,,"Savage Model 10, rifle, bolt action, .300 AAC Blackout, 7.62x35, gunshot, near distance, front of shooter, left, right, stereo"
T_17P.wav,Savage 10,19,1,,"Savage Model 10, rifle, bolt action, .300 AAC Blackout, 7.62x35, gunshot, mid distance, front of shooter, forward, back, stereo"
U_14P.wav,SKS,15,1,,"Norinco SKS, rifle, carbine, semi automatic, 7.62x39, gunshot, near distance, front of shooter, left, right, stereo"
U_19P.wav,SKS,20,1,,"Norinco SKS, rifle, carbine, semi automatic, 7.62x39, gunshot, mid distance, front of shooter, forward, back, stereo"
V_27P.wav,Smith & Wesson 642,28,1,,"Smith & Wesson 642, handgun, pistol, revolver, double action, .38 Special, gunshot, near distance, front of shooter, left, right, stereo"
V_22P.wav,Smith & Wesson 642,23,1,,"Smith & Wesson 642, handgun, pistol, revolver, double action, .38 Special, gunshot, mid distance, front of shooter, forward, back, stereo"
W_29P.wav,Tikka,30,1,,"Tikka Model T3, rifle, bolt action, .30-06, gunshot, near distance, front of shooter, left, right, stereo"
W_24P.wav,Tikka,25,1,,"Tikka Model T3, rifle, bolt action, .30-06, gunshot, mid distance, front of shooter, forward, back, stereo"
X_39P.wav,Walther PPQ,42,1,,"Walther PPQ, handgun, pistol, semi automatic, striker, 9mm, gunshot, near distance, front of shooter, left, right, stereo"
X_31P.wav,Walther PPQ,33,1,,"Walther PPQ, handgun, pistol, semi automatic, striker, 9mm, gunshot, mid distance, front of shooter, forward, back, stereo"
